tax_id	abundance	kingdom; phylum; class; order; family; genus; species	estimated counts
11131404	0.0004374094425763416	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__midas_g_648; s__midas_s_648	18.289838431887148
991454	0.07363410853469739	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__midas_g_99; s__midas_s_99	3078.9366142698364
36911455	0.0013633734602972636	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__midas_g_99; s__midas_s_99	57.00809786886978
87051455	0.00029485476439179784	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__midas_g_99; s__midas_s_99	12.329057118278635
71871455	0.0012476887333795908	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__midas_g_99; s__midas_s_99	52.17085669753421
60081453	0.0002814255065749502	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__midas_g_99; s__midas_s_99	11.767526131924967
17021453	0.0003751853558935581	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__midas_g_99; s__midas_s_99	15.688000471333238
39121454	0.0034000797013083715	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__midas_g_99; s__midas_s_99	142.17093263050825
54661455	0.00429678015019182	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__midas_g_99; s__midas_s_99	179.66556520012077
28121441	0.0007381876890229671	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Tetrasphaera; s__Tetrasphaera_vanveenii	30.866580028806347
621442	0.002069494503767744	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Ca_Phosphoribacter; s__midas_s_5	86.53384318054445
4761443	0.004702771822500274	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Ca_Phosphoribacter; s__midas_s_5	196.64170098602648
7221481	0.000598231561984682	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Trichococcus; s__midas_s_4	25.01445453282749
20731444	0.0014491507099351506	k__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__CL500-29_marine_group; s__midas_s_1782	60.594787785228384
40161444	0.0004399151141414815	k__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__CL500-29_marine_group; s__midas_s_1015	18.39461058271191
59301444	0.00034690588914062213	k__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__CL500-29_marine_group; s__midas_s_21	14.505522848525974
211444	0.009511373371669773	k__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__CL500-29_marine_group; s__midas_s_21	397.7085661629999
56951443	0.0020902320756968126	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__midas_o_5; f__midas_f_5; g__midas_g_957; s__midas_s_957	87.40096401318652
46001443	0.0009318918667289062	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__midas_o_5; f__midas_f_5; g__midas_g_957; s__midas_s_4600	38.966126515402486
731442	0.0011624179971608385	k__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__SJA-28; f__midas_f_31; g__midas_g_31; s__midas_s_31	48.6053461332833
311442	0.0011624179971608385	k__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__SJA-28; f__midas_f_31; g__midas_g_31; s__midas_s_31	48.6053461332833
31527	0.11120861557172904	k__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Microtrichaceae; g__Ca_Microthrix; s__Ca_Microthrix_parvicella	4650.077051516278
3081445	0.0054331510351888984	k__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Microtrichaceae; g__Ca_Microthrix; s__Ca_Microthrix_parvicella	227.1817773853886
36161445	0.0005345836136403673	k__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Microtrichaceae; g__Ca_Microthrix; s__Ca_Microthrix_subdominans	22.353079220758318
50161452	0.03067079615948183	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Niabella; s__midas_s_5016	1282.4686706125733
218041350	0.00030084309685273386	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Ottowia; s__midas_s_21804	12.579453251800214
